date,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
1/1/2016,0.001222,0.001274,0.001131,0.001222,0.001222,0.001261,0.001144,0.00117,0.00117,0.001209,0.001183,0.001235,0.001157,0.001001,0.001014,0.001144,0.001209,0.001547,0.00156,0.001534,0.001573,0.001573,0.001326,
1/2/2016,0.001313,0.001248,0.001222,0.001196,0.001196,0.001287,0.0013,0.001339,0.001352,0.001404,0.001417,0.001326,0.001313,0.001352,0.001339,0.001391,0.001404,0.001495,0.001521,0.001508,0.001534,0.001534,0.001469,
1/3/2016,0.001157,0.001092,0.001053,0.00104,0.00104,0.001066,0.001053,0.001144,0.001183,0.001248,0.001326,0.001404,0.001313,0.0013,0.001313,0.001261,0.001261,0.00143,0.001469,0.001404,0.001456,0.001378,0.001287,
1/4/2016,0.001105,0.001053,0.001001,0.000975,0.001053,0.001079,0.001183,0.00117,0.001274,0.00117,0.001157,0.001196,0.001196,0.001144,0.00117,0.001261,0.0013,0.001495,0.001586,0.001651,0.001651,0.001521,0.001417,
1/5/2016,0.001183,0.00117,0.001079,0.001131,0.00117,0.001183,0.0013,0.001365,0.001404,0.001378,0.001352,0.001326,0.001365,0.001339,0.0013,0.001313,0.001404,0.001638,0.001716,0.001677,0.001625,0.001638,0.001573,
1/6/2016,0.001391,0.001313,0.0013,0.001287,0.001313,0.001365,0.001443,0.001599,0.001547,0.001456,0.001404,0.001443,0.001365,0.00143,0.001365,0.001391,0.001482,0.001586,0.001742,0.001768,0.001794,0.001755,0.001547,
1/7/2016,0.001365,0.001287,0.001352,0.001339,0.001339,0.001339,0.001417,0.001508,0.001547,0.001495,0.001508,0.001404,0.001352,0.001404,0.001261,0.001209,0.001378,0.001508,0.001534,0.001599,0.001573,0.001599,0.001482,
1/8/2016,0.001287,0.001209,0.001196,0.00117,0.001196,0.001261,0.001339,0.001339,0.001339,0.001313,0.001287,0.00117,0.001144,0.001118,0.001105,0.001144,0.001209,0.001404,0.001521,0.001508,0.001521,0.001547,0.001495,
1/9/2016,0.001313,0.001248,0.001222,0.001196,0.001196,0.001287,0.0013,0.001339,0.001352,0.001404,0.001417,0.001326,0.001313,0.001352,0.001339,0.001391,0.001404,0.001495,0.001521,0.001508,0.001534,0.001534,0.001469,
1/10/2016,0.001157,0.001092,0.001053,0.00104,0.00104,0.001066,0.001053,0.001144,0.001183,0.001248,0.001326,0.001404,0.001313,0.0013,0.001313,0.001261,0.001261,0.00143,0.001469,0.001404,0.001456,0.001378,0.001287,
1/11/2016,0.001105,0.001053,0.001001,0.000975,0.001053,0.001079,0.001183,0.00117,0.001274,0.00117,0.001157,0.001196,0.001196,0.001144,0.00117,0.001261,0.0013,0.001495,0.001586,0.001651,0.001651,0.001521,0.001417,
1/12/2016,0.001183,0.00117,0.001079,0.001131,0.00117,0.001183,0.0013,0.001365,0.001404,0.001378,0.001352,0.001326,0.001365,0.001339,0.0013,0.001313,0.001404,0.001638,0.001716,0.001677,0.001625,0.001638,0.001573,
1/13/2016,0.001391,0.001313,0.0013,0.001287,0.001313,0.001365,0.001443,0.001599,0.001547,0.001456,0.001404,0.001443,0.001365,0.00143,0.001365,0.001391,0.001482,0.001586,0.001742,0.001768,0.001794,0.001755,0.001547,
1/14/2016,0.001365,0.001287,0.001352,0.001339,0.001339,0.001339,0.001417,0.001508,0.001547,0.001495,0.001508,0.001404,0.001352,0.001404,0.001261,0.001209,0.001378,0.001508,0.001534,0.001599,0.001573,0.001599,0.001482,
1/15/2016,0.001287,0.001209,0.001196,0.00117,0.001196,0.001261,0.001339,0.001339,0.001339,0.001313,0.001287,0.00117,0.001144,0.001118,0.001105,0.001144,0.001209,0.001404,0.001521,0.001508,0.001521,0.001547,0.001495,
1/16/2016,0.001313,0.001248,0.001222,0.001196,0.001196,0.001287,0.0013,0.001339,0.001352,0.001404,0.001417,0.001326,0.001313,0.001352,0.001339,0.001391,0.001404,0.001495,0.001521,0.001508,0.001534,0.001534,0.001469,
1/17/2016,0.001157,0.001092,0.001053,0.00104,0.00104,0.001066,0.001053,0.001144,0.001183,0.001248,0.001326,0.001404,0.001313,0.0013,0.001313,0.001261,0.001261,0.00143,0.001469,0.001404,0.001456,0.001378,0.001287,
1/18/2016,0.001105,0.001053,0.001001,0.000975,0.001053,0.001079,0.001183,0.00117,0.001274,0.00117,0.001157,0.001196,0.001196,0.001144,0.00117,0.001261,0.0013,0.001495,0.001586,0.001651,0.001651,0.001521,0.001417,
1/19/2016,0.001183,0.00117,0.001079,0.001131,0.00117,0.001183,0.0013,0.001365,0.001404,0.001378,0.001352,0.001326,0.001365,0.001339,0.0013,0.001313,0.001404,0.001638,0.001716,0.001677,0.001625,0.001638,0.001573,
1/20/2016,0.001391,0.001313,0.0013,0.001287,0.001313,0.001365,0.001443,0.001599,0.001547,0.001456,0.001404,0.001443,0.001365,0.00143,0.001365,0.001391,0.001482,0.001586,0.001742,0.001768,0.001794,0.001755,0.001547,
