case_id,status,is_correct,score,score_fd,column_mapping_score,average_similarity,latency_seconds,cost,timestamp,error
4_86,incorrect,False,1.0,1.0,1.0,0.8638888888888888,147.44,0.05685,2026-02-25T11:39:49.392873,
4_87,error,False,,,,,,0.025742,2026-02-25T11:43:53.389080,'NoneType' object is not subscriptable
4_88,incorrect,False,,,,,318.42,0.075002,2026-02-25T11:43:53.936936,
4_89,incorrect,False,,,,,149.67,0.039069,2026-02-25T11:49:12.808762,
4_90,correct,True,0.5,0.0,1.0,1.0,100.05,0.025927,2026-02-25T11:51:42.947009,
4_91,incorrect,False,,,,,78.58,0.02553,2026-02-25T11:53:23.517338,
4_92,incorrect,False,0.6428571428571429,0.28571428571428575,1.0,0.0,324.38,0.081458,2026-02-25T11:54:42.557678,
4_93,incorrect,False,,,,,202.17,0.063178,2026-02-25T12:00:07.389790,
4_94,incorrect,False,,,,,213.0,0.060026,2026-02-25T12:03:29.991613,
4_95,incorrect,False,,,,,331.45,0.085735,2026-02-25T12:07:03.617080,
4_96,incorrect,False,,,,,145.7,0.043754,2026-02-25T12:12:35.542424,
4_97,incorrect,False,0.8804347826086957,0.7608695652173914,1.0,0.9462717058222677,163.59,0.066073,2026-02-25T12:15:01.624026,
4_98,incorrect,False,0.8435960591133005,0.7586206896551724,0.9285714285714286,0.8006914433880727,203.05,0.072013,2026-02-25T12:17:45.643187,
4_99,incorrect,False,0.8829787234042554,0.7659574468085107,1.0,0.8553626149131769,142.97,0.054596,2026-02-25T12:21:09.087849,
