WarType,WarID,WarShortName,IsInternational,IsIntervention
1,1,0,0,0
1,4,0,0,0
1,7,0,0,0
1,10,0,0,0
1,13,0,0,0
1,16,0,0,0
1,19,0,0,0
1,22,0,0,0
1,25,0,0,0
1,28,0,0,0
1,31,0,0,0
1,34,0,0,0
1,37,0,0,0
1,40,0,0,0
1,43,0,0,0
1,46,0,0,0
1,49,0,0,0
1,52,0,0,0
1,55,0,0,0
1,58,0,0,0
1,60,0,0,0
1,61,0,0,0
1,64,0,0,0
1,65,0,0,0
1,67,0,0,0
1,70,0,0,0
1,73,0,0,0
1,76,0,0,0
1,79,0,0,0
1,82,0,0,0
1,83,0,0,0
1,85,0,0,0
1,88,0,0,0
1,91,0,0,0
1,94,0,0,0
1,97,0,0,0
1,100,0,0,0
1,103,0,0,0
1,106,0,0,0
1,107,0,0,0
1,108,0,0,0
1,109,0,0,0
1,112,0,0,0
1,115,0,0,0
1,116,0,0,0
1,117,0,0,0
1,118,0,0,0
1,121,0,0,0
1,124,0,0,0
1,125,0,0,0
1,127,0,0,0
1,130,0,0,0
1,133,0,0,0
1,136,0,0,0
1,139,0,0,0
1,142,0,0,0
1,145,0,0,0
1,147,0,0,0
1,148,0,0,0
1,151,0,0,0
1,153,0,0,0
1,155,0,0,0
1,156,0,0,0
1,158,0,0,0
1,159,0,0,0
1,160,0,0,0
1,163,2,0,0
1,166,0,0,0
1,169,0,0,0
1,170,2,0,0
1,172,0,0,0
1,175,0,0,0
1,176,0,0,0
1,178,0,0,0
1,181,0,0,0
1,184,0,0,0
1,186,0,0,0
1,187,2,0,0
1,189,0,0,0
1,190,0,0,0
1,193,0,0,0
1,199,0,0,0
1,202,0,0,0
1,205,0,0,0
1,207,0,0,0
1,208,0,0,0
1,211,0,0,0
1,215,0,0,0
1,216,0,0,0
1,217,0,0,0
1,219,0,0,0
1,221,0,0,0
1,223,0,0,0
1,225,0,0,0
1,227,0,0,0
8,1500,0,0,0
8,1501,0,0,0
8,1502,0,0,0
8,1503,0,0,0
8,1505,0,0,0
8,1506,0,0,0
8,1508,0,0,0
8,1509,0,0,0
8,1510,0,0,0
8,1511,0,0,0
8,1512,0,0,0
8,1513,0,0,0
8,1514,0,0,0
8,1515,0,0,0
8,1516,0,0,0
8,1518,0,0,0
8,1520,0,0,0
8,1521,0,0,0
8,1523,0,0,0
8,1524,0,0,0
8,1525,0,0,0
8,1527,0,0,0
8,1528,0,0,0
8,1530,0,0,0
8,1531,0,0,0
8,1533,0,0,0
8,1534,1,0,0
8,1535,0,0,0
8,1536,0,0,0
8,1537,1,0,0
8,1538,0,0,0
8,1539,0,0,0
8,1540,0,0,0
8,1541,1,0,0
8,1542,0,0,0
8,1543,0,0,0
8,1544,0,0,0
8,1545,0,0,0
8,1546,0,0,0
8,1548,0,0,0
8,1550,0,0,0
8,1551,0,0,0
8,1552,0,0,0
8,1553,0,0,0
8,1554,0,0,0
8,1556,0,0,0
8,1557,0,0,0
8,1558,0,0,0
8,1559,0,0,0
8,1560,0,0,0
8,1561,0,0,0
8,1567,0,0,0
8,1568,0,0,0
8,1570,0,0,0
8,1571,0,0,0
8,1572,0,0,0
8,1573,0,0,0
8,1574,0,0,0
8,1577,1,0,0
8,1581,0,0,0
8,1582,1,0,0
9,1594,0,0,0
