State,AverageTemperature
Acre,25.769593886462882
Adygey,10.203819706498951
Aga Buryat,-3.983296918767507
Alabama,17.331663636363636
Alagoas,24.71540121580547
Alaska,-5.9709969969969965
Alberta,-0.922997084548105
Altay,0.33735568513119524
Amazonas,26.08771906354515
Amur,-5.016896984924624
Andaman And Nicobar,27.27568611111111
Andhra Pradesh,27.113458333333337
Anhui,14.798288888888889
Arizona,15.660657738095237
Arkansas,15.979549356223176
Arkhangel'Sk,-1.688301181102362
Arunachal Pradesh,13.333804713804714
Assam,21.95723955431755
Astrakhan',7.967766355140188
Australian Capital Territory,11.250277611940298
Bahia,24.072553459119497
Bashkortostan,0.9283927710843373
Beijing,9.37399712643678
Belgorod,6.16343006263048
Bihar,24.32326876513317
British Columbia,-0.1930764872521246
Bryansk,5.274732776617953
Buryat,-6.431330578512396
California,14.91665460526316
Chandigarh,13.496996923076924
Chechnya,8.854442455242967
Chelyabinsk,1.390466165413534
Chhattisgarh,25.85584864864865
Chita,-6.562441717791412
Chongqing,16.26632640949555
Chukot,-11.964781132075471
Chuvash,3.7679582542694496
City Of St. Petersburg,4.390252049180328
Colorado,7.086209944751381
Connecticut,8.88251731160896
Dadra And Nagar Haveli,25.200531249999997
Dagestan,9.737169712793735
Daman And Diu,26.22898484848485
Delaware,11.702250535331906
Delhi,25.22077808219178
District Of Columbia,11.84411087866109
Distrito Federal,21.73187841945289
Evenk,-11.074765789473684
Florida,21.131367816091956
Fujian,19.113627976190475
Gansu,5.195841040462429
Georgia (State),18.29831497797357
Goa,25.719939546599498
Gorno Altay,-3.632029972752044
Guangdong,20.942365558912385
Guangxi,19.892818181818182
Guizhou,15.286550898203595
Gujarat,26.422950131233595
Hainan,24.443473354231976
Haryana,24.199556994818654
Hawaii,22.508992063492066
Hebei,9.842512048192772
Heilongjiang,0.9503978779840853
Henan,13.741728613569322
Himachal Pradesh,8.582471186440678
Hubei,16.56725723472669
Hunan,16.58268181818182
Idaho,4.933470899470899
Illinois,10.157397540983608
Indiana,11.062993762993763
Ingush,7.550398533007335
Iowa,9.060504184100418
Irkutsk,-6.7345623342175065
Ivanovo,3.0442831325301203
Jammu And Kashmir,3.39906990881459
Jharkhand,24.983625954198473
Jiangsu,14.758449477351917
Jiangxi,16.936554252199414
Jilin,5.127960451977401
Kabardin Balkar,7.375517647058823
Kaliningrad,6.312862275449102
Kalmyk,9.865152360515022
Kaluga,4.633248447204969
Kamchatka,-2.7218307210031347
Kansas,11.57960904255319
Karachay Cherkess,8.683264705882353
Karelia,0.7525972762645914
Karnataka,25.603313984168867
Kemerovo,-0.6660170940170939
Kentucky,13.254244493392072
Kerala,26.397146666666668
Khabarovsk,-6.323524725274725
Khakass,-3.3771972602739724
Khanty Mansiy,-3.493
Kirov,1.4129393939393942
Komi,-2.581628458498024
Komi Permyak,0.863452282157676
Koryak,-5.739029220779221
Kostroma,1.222304068522484
Krasnodar,9.967049713193116
Krasnoyarsk,-3.7637544378698222
Kurgan,2.3239646739130433
Kursk,6.235931102362205
Leningrad,3.701297180043384
Liaoning,8.077962365591398
Lipetsk,5.4031400778210115
Louisiana,19.337402116402117
Madhya Pradesh,24.856221938775512
Maga Buryatdan,-9.615459677419356
Maharashtra,25.93557142857143
Maine,4.633336225596529
Manipur,21.179861027190334
Manitoba,-3.0242315521628504
Mariy El,2.183333333333333
Maryland,12.188322
Massachusetts,7.742856000000001
Mato Grosso,25.47190273556231
Mato Grosso Do Sul,23.586756838905778
Meghalaya,23.42571649484536
Michigan,6.967987525987526
Minas Gerais,22.023107843137254
Minnesota,4.982498977505112
Mississippi,17.0313006993007
Missouri,12.343508163265307
Mizoram,23.426
Montana,4.3402636579572444
Mordovia,3.531884
Moscow City,4.085774193548387
Moskva,3.961965306122449
Murmansk,-1.915315789473684
Nagaland,21.463714285714286
Nebraska,8.52370430107527
Nei Mongol,3.633650429799427
Nenets,-4.488289361702128
Nevada,9.743228658536585
New Brunswick,4.087949152542373
New Hampshire,6.435301310043668
New Jersey,10.53575983436853
New Mexico,12.073129032258064
New South Wales,17.225839009287924
New York,7.579829918032788
Newfoundland And Labrador,-1.890934426229508
Ningxia Hui,7.692095652173913
Nizhegorod,4.109232558139535
North Carolina,15.329075723830735
North Dakota,4.047731457800512
North Ossetia,6.992626190476191
Northern Territory,25.0466013986014
Northwest Territories,-10.135012853470437
Nova Scotia,5.697127376425855
Novgorod,3.3591614255765196
Novosibirsk,1.2013737113402063
Nunavut,-13.196042979942693
Ohio,10.64610183299389
Oklahoma,14.535736842105262
Omsk,0.02953494623655929
Ontario,0.4061132897603485
Oregon,8.120050147492625
Orel,5.09015157480315
Orenburg,3.77648743718593
Orissa,25.753110256410256
Pennsylvania,9.381377637130802
Penza,4.238495633187773
Perm',0.2587093275488069
Pernambuco,25.257353658536587
Primor'Ye,0.6666330532212884
Prince Edward Island,4.480437623762376
Pskov,4.925207243460765
Puducherry,27.395874055415618
Punjab,23.851235849056604
Qinghai,-2.6721150895140666
Queensland,23.198795053003533
Rajasthan,26.158374331550803
Rhode Island,8.717535433070866
Rio De Janeiro,21.890006389776357
Rio Grande Do Norte,27.043008583690987
Rio Grande Do Sul,18.770123529411766
Roraima,25.728399999999997
Rostov,8.356533333333335
Ryazan',4.551111984282908
Sakha,-12.24483746556474
Sakhalin,1.1013084745762716
Samara,3.4014628450106157
Santa Catarina,18.125947368421055
Saratov,4.817331950207469
Saskatchewan,-0.9053898305084747
Sergipe,25.198910179640716
Shaanxi,11.14391036414566
Shandong,11.940129337539434
Shanghai,16.466354231974922
Shanxi,9.456853731343283
Sichuan,8.424961218836565
Sikkim,3.052387254901961
Smolensk,4.201663244353183
South Australia,19.27296518987342
South Carolina,16.941962800875274
South Dakota,6.822501298701298
Stavropol',10.077055684454757
Sverdlovsk,-0.5202325581395351
Tambov,4.250093167701864
Tamil Nadu,26.667426701570683
Tasmania,10.868937125748502
Tatarstan,1.6714907216494845
Taymyr,-12.660155737704919
Tennessee,13.921452525252525
Texas,17.640250720461097
Tianjin,11.657971014492754
Tocantins,25.81117283950617
Tomsk,-0.4246676300578035
Tripura,24.659605597964376
Tula,4.206438034188034
Tuva,-6.6996253229974165
Tver',3.5767889125799575
Tyumen',-0.4242096774193549
Udmurt,1.166037113402062
Ul'Yanovsk,3.8496982248520712
Ust Orda Buryat,-3.230887240356083
Utah,8.39953462603878
Uttar Pradesh,24.752604774535808
Uttaranchal,14.294106451612903
Vermont,5.229123260437375
Victoria,14.044452599388379
Virginia,12.564771153846154
Vladimir,3.2897955056179775
Volgograd,7.063878318584071
Vologda,1.3497148514851487
Voronezh,6.524559652928417
Washington,7.896902298850574
West Bengal,25.04480193236715
West Virginia,11.354954918032787
Western Australia,22.7143306122449
Wisconsin,5.8393397027600855
Wyoming,4.998967914438503
Xinjiang Uygur,5.107276162790698
Xizang,-2.7473699059561127
Yamal Nenets,-8.098177419354839
Yaroslavl',2.407182555780933
Yevrey,0.7358604651162792
Yukon,-8.69654810495627
Yunnan,15.716737003058105
Zhejiang,16.185408695652175
