case_id,status,is_correct,score,score_fd,column_mapping_score,average_similarity,latency_seconds,cost,timestamp,error
1_50,incorrect,False,,,,,383.72,0.084117,2026-02-24T09:19:13.190987,
1_51,correct,True,1.0,1.0,1.0,1.0,44.74,0.011589,2026-02-24T09:25:37.493294,
1_52,incorrect,False,0.5,0.0,1.0,0.0,85.16,0.019226,2026-02-24T09:26:22.601447,
1_53,incorrect,False,1.0,1.0,1.0,0.2,85.13,0.023911,2026-02-24T09:27:48.271280,
1_54,correct,True,1.0,1.0,1.0,1.0,165.46,0.041091,2026-02-24T09:29:13.750895,
1_55,correct,True,0.5,0.0,1.0,1.0,67.62,0.020696,2026-02-24T09:31:59.625183,
1_56,correct,True,1.0,1.0,1.0,1.0,389.9,0.178222,2026-02-24T09:33:08.064249,
1_57,correct,True,1.0,1.0,1.0,1.0,23.7,0.008967,2026-02-24T09:39:38.366385,
1_58,incorrect,False,,,,,74.03,0.022294,2026-02-24T09:40:02.480588,
1_59,correct,True,1.0,1.0,1.0,1.0,31.69,0.01,2026-02-24T09:41:16.963941,
1_60,correct,True,1.0,1.0,1.0,1.0,31.34,0.009052,2026-02-24T09:41:49.130535,
1_61,incorrect,False,,,,,127.41,0.051789,2026-02-24T09:42:21.241569,
1_62,correct,True,1.0,1.0,1.0,1.0,37.83,0.010122,2026-02-24T09:44:29.140085,
1_63,correct,True,1.0,1.0,1.0,1.0,46.14,0.011833,2026-02-24T09:45:07.473860,
