date,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24
1/1/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
1/2/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
1/3/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
1/4/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
1/5/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
1/6/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
1/7/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
1/8/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
1/9/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
1/10/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
