,placeID,Rpayment,latitude,longitude,the_geom_meter,name,address,city,state,country,fax,zip,alcohol,smoking_area,dress_code,accessibility,price,url,Rambience,franchise,area,other_services,Rcuisine,hours,days,parking_lot
0,135109,cash,18.9217848,-99.2353499,0101000020957F0000A6BF695F136F5AC1DADF87B205564A41,Paniroles,?,?,?,?,?,?,Wine-Beer,not permitted,informal,no_accessibility,medium,?,quiet,f,closed,Internet,Italian,08:00-21:00;,Mon;Tue;Wed;Thu;Fri;,none
1,135109,cash,18.9217848,-99.2353499,0101000020957F0000A6BF695F136F5AC1DADF87B205564A41,Paniroles,?,?,?,?,?,?,Wine-Beer,not permitted,informal,no_accessibility,medium,?,quiet,f,closed,Internet,Italian,08:00-21:00;,Sat;,none
2,135109,cash,18.9217848,-99.2353499,0101000020957F0000A6BF695F136F5AC1DADF87B205564A41,Paniroles,?,?,?,?,?,?,Wine-Beer,not permitted,informal,no_accessibility,medium,?,quiet,f,closed,Internet,Italian,08:00-21:00;,Sun;,none
3,135106,cash,22.149708800000003,-100.97609279999999,0101000020957F0000649D6F21634858C119AE9BF528A34B41,El Rincón de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,?,78000,Wine-Beer,only at bar,informal,partially,medium,?,familiar,f,open,none,Mexican,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;,none
4,135106,cash,22.149708800000003,-100.97609279999999,0101000020957F0000649D6F21634858C119AE9BF528A34B41,El Rincón de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,?,78000,Wine-Beer,only at bar,informal,partially,medium,?,familiar,f,open,none,Mexican,18:00-23:30;,Sat;,none
5,135106,cash,22.149708800000003,-100.97609279999999,0101000020957F0000649D6F21634858C119AE9BF528A34B41,El Rincón de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,?,78000,Wine-Beer,only at bar,informal,partially,medium,?,familiar,f,open,none,Mexican,18:00-21:00;,Sun;,none
6,135106,VISA,22.149708800000003,-100.97609279999999,0101000020957F0000649D6F21634858C119AE9BF528A34B41,El Rincón de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,?,78000,Wine-Beer,only at bar,informal,partially,medium,?,familiar,f,open,none,Mexican,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;,none
7,135106,VISA,22.149708800000003,-100.97609279999999,0101000020957F0000649D6F21634858C119AE9BF528A34B41,El Rincón de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,?,78000,Wine-Beer,only at bar,informal,partially,medium,?,familiar,f,open,none,Mexican,18:00-23:30;,Sat;,none
8,135106,VISA,22.149708800000003,-100.97609279999999,0101000020957F0000649D6F21634858C119AE9BF528A34B41,El Rincón de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,?,78000,Wine-Beer,only at bar,informal,partially,medium,?,familiar,f,open,none,Mexican,18:00-21:00;,Sun;,none
9,135106,MasterCard-Eurocard,22.149708800000003,-100.97609279999999,0101000020957F0000649D6F21634858C119AE9BF528A34B41,El Rincón de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,?,78000,Wine-Beer,only at bar,informal,partially,medium,?,familiar,f,open,none,Mexican,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;,none
10,135106,MasterCard-Eurocard,22.149708800000003,-100.97609279999999,0101000020957F0000649D6F21634858C119AE9BF528A34B41,El Rincón de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,?,78000,Wine-Beer,only at bar,informal,partially,medium,?,familiar,f,open,none,Mexican,18:00-23:30;,Sat;,none
11,135106,MasterCard-Eurocard,22.149708800000003,-100.97609279999999,0101000020957F0000649D6F21634858C119AE9BF528A34B41,El Rincón de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,?,78000,Wine-Beer,only at bar,informal,partially,medium,?,familiar,f,open,none,Mexican,18:00-21:00;,Sun;,none
12,135104,cash,23.752982100000004,-99.16843409999998,0101000020957F00007CDF5EAFC58157C1645743B23E4F4941,vips,?,?,?,?,?,?,Full_Bar,not permitted,informal,completely,medium,?,familiar,t,closed,variety,Mexican,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,yes
13,135104,cash,23.752982100000004,-99.16843409999998,0101000020957F00007CDF5EAFC58157C1645743B23E4F4941,vips,?,?,?,?,?,?,Full_Bar,not permitted,informal,completely,medium,?,familiar,t,closed,variety,Mexican,00:00-23:30;,Sat;,yes
14,135104,cash,23.752982100000004,-99.16843409999998,0101000020957F00007CDF5EAFC58157C1645743B23E4F4941,vips,?,?,?,?,?,?,Full_Bar,not permitted,informal,completely,medium,?,familiar,t,closed,variety,Mexican,00:00-23:30;,Sun;,yes
15,135104,VISA,23.752982100000004,-99.16843409999998,0101000020957F00007CDF5EAFC58157C1645743B23E4F4941,vips,?,?,?,?,?,?,Full_Bar,not permitted,informal,completely,medium,?,familiar,t,closed,variety,Mexican,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,yes
