case_id,status,is_correct,score,score_fd,column_mapping_score,average_similarity,latency_seconds,cost,timestamp,error
4_46,incorrect,False,,,,,235.11,0.05322,2026-02-25T11:37:50.941977,
4_47,incorrect,False,0.5,0.0,1.0,0.0,318.8,0.08702,2026-02-25T11:41:46.481157,
4_48,incorrect,False,,,,,351.42,0.124138,2026-02-25T11:47:05.735720,
4_49,incorrect,False,,,,,297.87,0.108298,2026-02-25T11:52:57.536121,
4_50,incorrect,False,0.5714285714285714,0.14285714285714285,1.0,0.0,342.97,0.099698,2026-02-25T11:57:55.795632,
4_51,incorrect,False,0.5,0.0,1.0,0.0,667.2,0.106143,2026-02-25T12:03:39.250194,
4_52,incorrect,False,,,,,339.45,0.087338,2026-02-25T12:14:46.918402,
4_53,incorrect,False,,,,,365.98,0.114181,2026-02-25T12:20:26.904443,
4_54,incorrect,False,,,,,217.81,0.06956,2026-02-25T12:26:33.401402,
4_55,incorrect,False,1.0,1.0,1.0,0.5,256.05,0.070692,2026-02-25T12:30:11.706402,
4_56,incorrect,False,,,,,389.6,0.056358,2026-02-25T12:34:28.263998,
