CST,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
Thu 01/01/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
Fri 01/02/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
Sat 01/03/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
Sun 01/04/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
Mon 01/05/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
Tue 01/06/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
Wed 01/07/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
Thu 01/08/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
Fri 01/09/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
Sat 01/10/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000119933,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000119933,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
Sun 01/11/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
Mon 01/12/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
Tue 01/13/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
Wed 01/14/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
Thu 01/15/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
Fri 01/16/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
Sat 01/17/2015,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866,0.000239866
