0,1,2,3,4,5,6,7,8,9
3,0.0008424599831508003,2,0,0.0,0.0,0.0,0.0,1801,0.5057568098848638
2773,0.7787138444257231,2,1,0.2,0.0,0.0,0.0,3,0.0008424599831508003
5,0.0014040999719180005,1,2,0.4,0.0,4.0,1.25,3001,0.842740803145184
5,0.0014040999719180005,1,3,0.6,0.0,4.0,1.25,3001,0.842740803145184
5,0.0014040999719180005,1,4,0.8,0.0,4.0,1.25,3001,0.842740803145184
2773,0.6603953322219576,2,0,0.0,0.0,0.0,0.0,5,0.0011907597046915933
17,0.004048582995951417,2,1,0.1,0.0,0.0,0.0,606,0.1443200762086211
3851,0.9171231245534651,2,2,0.2,0.0,0.0,0.0,4,0.0009526077637532746
971,0.2312455346511074,2,3,0.3,0.0,0.0,0.0,22,0.00523934270064301
4136,0.9849964277208859,0,4,0.4,0.0,89057.82,0.04644173863676429,2,0.0004763038818766373
11,0.002619671350321505,0,5,0.5,0.0,0.1,110.0,420,0.10002381519409383
50,0.011907597046915932,1,6,0.6,0.0,49.0,1.0204081632653061,99,0.023577042152893544
4039,0.961895689449869,0,7,0.7,0.0,39205.09,0.1030223371506098,6,0.0014289116456299119
615,0.14646344367706596,0,8,0.8,0.0,146.63,4.194230375775763,168,0.04000952607763753
52,0.01238390092879257,0,9,0.9,0.009287925696594427,0.5,104.0,382,0.09097404143843772
3,0.00038955979742890534,2,0,0.0,0.0,0.0,0.0,5607,0.7280872613946241
1450,0.1882872354239709,2,1,0.3333333333333333,0.0,0.0,0.0,15,0.0019477989871445266
7701,1.0,2,2,0.6666666666666666,0.0,0.0,0.0,1,0.0001298532658096351
795,0.4339519650655022,2,0,0.0,0.0,0.0,0.0,13,0.007096069868995633
13,0.007096069868995633,2,1,0.2,0.0,0.0,0.0,337,0.18395196506550218
8,0.004366812227074236,2,2,0.4,0.0,0.0,0.0,382,0.20851528384279475
4,0.002183406113537118,2,3,0.6,0.0,0.0,0.0,662,0.361353711790393
1832,1.0,2,4,0.8,0.0,0.0,0.0,1,0.0005458515283842794
3,0.17647058823529413,2,0,0.0,0.0,0.0,0.0,9,0.5294117647058824
17,1.0,2,1,0.3333333333333333,0.0,0.0,0.0,1,0.058823529411764705
17,1.0,2,2,0.6666666666666666,0.0,0.0,0.0,1,0.058823529411764705
1418,0.257537232110425,2,0,0.0,0.0,0.0,0.0,11,0.0019978205593897567
5,0.0009081002542680712,2,1,0.3333333333333333,0.0,0.0,0.0,1137,0.2065019978205594
5506,1.0,2,2,0.6666666666666666,0.0,0.0,0.0,1,0.00018162005085361425
3300,0.8214175757200517,2,1,0.29005718358491794,0.0,0.0,0.0,2,0.0007149313050726593
951,0.9249709827296604,2,1,0.5084392289765012,0.0,0.0,0.0,1,0.03916453787556792
2470,0.8499146932360298,2,1,0.3930554994519051,0.0,0.0,0.0,2,0.0007470234941897862
6842,1.0,2,2,0.6861715355319052,0.0,0.0,0.0,1,0.00019070820250727673
651,0.9862905434994211,2,2,0.5894708707046907,0.0,0.0,0.0,1,0.04925054685532602
1391,0.9702933245648185,2,2,0.49939304385703265,0.0,0.0,0.0,2,0.03808007501306039
7290,0.9911615223008479,2,2,0.6168985871626096,0.0,0.0,0.0,1,0.0002175966470938772
526,0.9889883584950112,2,2,0.6046618431501656,0.0,0.0,0.0,1,0.05113436594707426
4318,0.92718878478235,2,2,0.2566781515531828,0.0,0.0,0.0,3,0.0008526816120557479
3066,0.9340734051720561,2,2,0.2954443674755259,0.0,0.0,0.0,3,0.01278857957501078
1394,1.0,2,3,0.7678395497571127,0.0,0.0,0.0,1,0.014602624227180352
6226,1.0,2,2,0.6666666666666666,0.0,0.0,0.0,1,0.0001646326367866426
4886,1.0,2,2,0.6666666666666666,0.0,0.0,0.0,1,0.006802448975639072
5230,1.0,2,2,0.6766664967481214,0.0,0.0,0.0,1,0.0002089369474957932
4497,0.949517167348315,2,2,0.3824057662584338,0.0,0.0,0.0,2,0.000651252182580489
4387,0.9439759810348046,2,2,0.35120421658161166,0.0,0.0,0.0,3,0.0007028007784896139
6506,1.0,2,2,0.6666666666666666,0.0,0.0,0.0,1,0.00015803315523304267
