month,daytype,hr1,hr2,hr3,hr4,hr5,hr6,hr7,hr8,hr9,hr10,hr11,hr12,hr13,hr14,hr15,hr16,hr17,hr18,hr19,hr20,hr21,hr22,hr23,hr24
January  ,Weekend,1.3683,1.3504,1.2641,1.2517,1.3016,1.2379,1.205,1.3164,1.3022,1.4513,1.5293,1.439,1.3605,1.2648,1.1798,1.2446,1.2776,1.3264,1.3717,1.2498,1.2564,1.1658,1.122,0.9434
January  ,Weekend,0.7882,0.767,0.6952,0.6772,0.6428,0.7192,0.7504,0.9697,1.066,1.2865,1.2257,1.3022,1.4265,1.5908,1.3611,1.421,1.2689,1.3653,1.4461,1.5764,1.6356,1.6591,1.5318,1.4032
January  ,Weekday,1.2923,1.232,1.209,1.2782,1.4182,1.4176,1.7326,1.6609,1.7031,1.432,1.4658,1.2179,1.2532,1.1844,1.1438,1.0521,1.3357,1.6857,1.9099,2.1534,2.0608,2.0073,1.7486,1.622
January  ,Weekday,1.4253,1.4117,1.3961,1.4526,1.5362,1.6146,1.7492,1.9609,1.8338,1.6342,1.5036,1.3184,1.2472,1.1504,1.1795,1.1002,1.3719,1.6257,1.8881,2.0097,1.8777,1.881,1.6909,1.5097
January  ,Weekday,1.4508,1.387,1.4334,1.4939,1.4664,1.5707,1.7407,1.7195,1.7081,1.6191,1.4209,1.353,1.2054,1.1175,1.0411,1.1812,1.3405,1.6931,1.8267,1.7306,1.9175,1.8478,1.6508,1.5547
January  ,Weekday,1.4414,1.4246,1.3984,1.3883,1.4563,1.5691,1.6738,1.7094,1.545,1.3964,1.3313,1.2229,1.0592,0.954,1.0083,0.9853,1.1293,1.7313,1.8263,1.9468,1.9317,1.848,1.5204,1.3817
January  ,Weekday,1.3002,1.1963,1.2265,1.206,1.3158,1.3263,1.5178,1.5343,1.4819,1.4249,1.4012,1.277,1.2823,1.2955,1.1927,1.2163,1.4285,1.4787,1.7002,1.6663,1.6077,1.6881,1.4787,1.4257
January  ,Weekend,1.3331,1.2708,1.2523,1.2171,1.2577,1.2491,1.3854,1.484,1.5966,1.6889,1.8459,1.6942,1.6344,1.7445,1.6261,1.4575,1.6327,1.8459,2.0554,2.075,2.0761,2.1162,1.906,1.8676
January  ,Weekend,1.7825,1.6683,1.6687,1.6388,1.6914,1.669,1.6727,1.8557,1.9704,1.7539,1.8998,1.908,1.6166,1.6006,1.624,1.6239,1.8829,1.8942,2.0959,2.1021,2.3044,2.0315,2.0331,1.7813
January  ,Weekday,1.6818,1.5768,1.5523,1.6166,1.608,1.6715,1.806,1.9347,1.7886,1.6931,1.4998,1.3524,1.1975,1.1748,1.278,1.3044,1.5093,1.8474,1.9934,2.1006,2.2403,2.2132,1.8821,1.6506
January  ,Weekday,1.5509,1.5484,1.5215,1.4558,1.5357,1.526,1.6904,1.6952,1.7326,1.6499,1.5191,1.5352,1.5229,1.4693,1.4432,1.5244,1.6534,2.1513,2.17,2.182,2.1252,2.0051,1.745,1.534
January  ,Weekday,1.4576,1.4611,1.3409,1.3985,1.4484,1.6094,1.6438,1.7056,1.8756,1.6786,1.4308,1.415,1.4948,1.4289,1.3678,1.5091,1.8633,1.8819,1.9704,1.9747,2.0229,2.0961,1.7369,1.6776
January  ,Weekday,1.5122,1.4857,1.4311,1.4304,1.5826,1.6998,1.7277,1.7869,1.8294,1.681,1.4053,1.3479,1.3006,1.2601,1.2336,1.2879,1.3317,1.6788,1.8797,2.0524,1.9987,1.878,1.8376,1.5644
January  ,Weekday,1.5387,1.4474,1.5175,1.5239,1.6343,1.7219,1.7709,2.0171,1.8483,1.7655,1.5545,1.3374,1.2428,1.2659,1.2245,1.3875,1.3861,1.6861,1.8099,2.0162,2.039,1.9287,1.8132,1.7265
January  ,Weekend,1.7646,1.5344,1.5745,1.535,1.4766,1.6324,1.5053,1.6892,1.7562,1.8646,1.7285,1.5693,1.4404,1.4171,1.3294,1.4001,1.5482,1.4968,1.5428,1.5123,1.486,1.4959,1.4368,1.2028
January  ,Weekend,1.1812,1.1113,1.1315,1.1848,1.2616,1.3812,1.3375,1.4882,1.6612,1.5104,1.4483,1.2846,1.3309,1.3539,1.339,1.447,1.4222,1.8064,1.8216,1.8226,1.7661,1.8533,1.6743,1.4521
January  ,Weekday,1.4261,1.2735,1.2501,1.3313,1.3797,1.4595,1.4753,1.5191,1.821,1.7691,1.6964,1.7329,1.7676,1.6854,1.6659,1.6361,1.7942,1.8934,2.0846,2.0164,1.9906,1.955,1.6598,1.5711
January  ,Weekday,1.408,1.2969,1.3491,1.315,1.3134,1.4193,1.5591,1.6676,1.8202,1.8493,1.61,1.5747,1.4894,1.4834,1.549,1.5317,1.4688,1.7672,1.8237,1.9553,2.0311,1.8722,1.5863,1.4302
January  ,Weekday,1.2575,1.2109,1.1557,1.1568,1.2041,1.2975,1.4762,1.5252,1.4497,1.335,1.2965,1.0915,1.0095,0.9357,0.929,1.085,1.1731,1.2497,1.4538,1.5562,1.4763,1.4224,1.2937,1.1859
January  ,Weekday,1.1001,1.0539,1.0564,1.0201,1.1784,1.3235,1.5148,1.5631,1.5813,1.4663,1.2664,1.0884,0.9769,0.9838,0.8819,1.0129,1.1658,1.5141,1.5547,1.672,1.6419,1.6353,1.5459,1.2986
January  ,Weekday,1.1693,1.06,1.0209,1.101,1.1656,1.2951,1.5432,1.7715,1.5829,1.534,1.4101,1.2672,1.3358,1.2355,1.1686,1.1489,1.2469,1.507,1.7912,1.9746,1.7492,1.8467,1.9889,1.8465
January  ,Weekend,1.701,1.6221,1.7821,1.7654,1.7919,1.7948,1.825,1.9738,2.1664,2.0817,2.1833,2.1223,2.0107,1.8396,1.9241,1.7771,1.8142,2.1143,2.2502,2.3243,2.3604,2.4247,2.2957,2.1014
January  ,Weekend,2.0293,2.045,2.0499,2.1133,2.107,1.964,1.9575,2.1283,2.0845,2.1274,2.0822,1.9344,2.0108,1.9567,1.8052,1.6673,1.8103,2.1437,2.1807,2.2238,2.1136,2.1853,2.1922,1.8534
January  ,Weekday,1.869,1.8238,1.9478,1.8818,2.0244,2.0872,2.2631,2.59,2.3545,2.0729,1.8792,1.794,1.6212,1.4944,1.3991,1.4253,1.6655,1.8253,2.0003,2.0917,1.975,1.9587,1.8255,1.6842
January  ,Weekday,1.6395,1.5412,1.4307,1.4706,1.519,1.5939,1.6885,1.7625,1.7746,1.5708,1.2728,1.2414,1.1251,1.1068,1.0677,1.0862,1.3145,1.5002,1.5775,1.7022,1.8213,1.6828,1.4687,1.2522
January  ,Weekday,1.1486,1.0241,1.1379,1.1329,1.2145,1.3914,1.6019,1.57,1.5777,1.4224,1.3766,1.3454,1.3468,1.5374,1.6429,1.5638,1.6982,2.1755,2.0947,1.9815,1.8617,1.9703,1.7089,1.4549
January  ,Weekday,1.4003,1.3299,1.3006,1.3383,1.318,1.4362,1.4424,1.5846,1.6665,1.6465,1.6194,1.4164,1.3713,1.4328,1.3477,1.3028,1.5189,1.7949,1.9316,1.8312,1.819,1.7812,1.64,1.4877
January  ,Weekday,1.32,1.3062,1.1975,1.2729,1.3745,1.3883,1.656,1.6083,1.7519,1.7004,1.5282,1.4061,1.449,1.5687,1.4424,1.4462,1.4348,1.7797,1.9321,1.9395,1.8841,1.92,1.7162,1.7523
January  ,Weekend,1.5858,1.5082,1.4733,1.4289,1.4471,1.4529,1.6468,1.8098,1.8579,1.7403,1.7552,1.5247,1.5846,1.633,1.512,1.3768,1.4673,1.6252,1.7872,1.7804,1.779,1.7897,1.7234,1.5091
January  ,Weekend,1.4523,1.3866,1.4075,1.3773,1.4162,1.4267,1.483,1.7712,1.771,1.6853,1.6903,1.396,1.3979,1.3185,1.3644,1.3876,1.4909,1.5885,1.7314,1.9453,1.8097,1.629,1.4809,1.3338
January  ,Weekday,1.1211,1.1349,1.173,1.2334,1.2452,1.2787,1.4657,1.6853,1.6022,1.6046,1.5814,1.5675,1.5371,1.4841,1.4845,1.4971,1.667,1.6629,1.7706,2.035,1.8492,1.9084,1.6348,1.4681
February ,Weekday,1.3511,1.3276,1.1944,1.3234,1.3472,1.4114,1.5855,2.0358,1.7458,1.6853,1.6339,1.496,1.4951,1.4222,1.3127,1.3588,1.4496,1.6957,1.803,2.0612,1.8716,1.6005,1.5046,1.3281
February ,Weekday,1.2173,1.0775,1.0424,1.1047,1.112,1.1588,1.5408,1.4105,1.4013,1.2665,1.2429,0.9939,0.8669,0.7849,0.8113,0.8568,0.9051,1.0529,1.4548,1.427,1.3878,1.4419,1.4227,1.2291
February ,Weekday,1.186,1.1395,1.2142,1.2225,1.3768,1.4295,1.5927,1.9066,1.9329,1.6029,1.472,1.3369,1.2538,1.2001,1.2374,1.2109,1.4042,1.6679,1.8869,1.8847,1.8067,1.791,1.56,1.4855
February ,Weekday,1.4168,1.3462,1.3819,1.3816,1.4586,1.5022,1.8082,1.8894,1.7334,1.6326,1.3877,1.3512,1.2107,1.1194,1.1028,1.1293,1.1433,1.2696,1.3605,1.3745,1.4879,1.3292,1.3382,1.2669
February ,Weekend,1.0538,1.053,1.0491,1.041,1.1054,1.138,1.2044,1.3943,1.4482,1.6833,1.5966,1.564,1.3877,1.4316,1.5358,1.3732,1.3008,1.3808,1.4643,1.4644,1.549,1.4424,1.4121,1.2581
February ,Weekend,1.0747,1.1334,1.0411,1.0711,1.0641,1.159,1.1884,1.4111,1.5159,1.4838,1.2863,1.1585,1.1192,1.1039,1.0626,1.0825,1.2451,1.271,1.4142,1.4179,1.4685,1.55,1.5395,1.3865
February ,Weekday,1.2576,1.1763,1.2283,1.289,1.3716,1.4811,1.6418,1.7148,1.5042,1.3373,1.1279,1.1161,1.0249,0.9548,1.1957,1.0253,1.243,1.3269,1.4388,1.4719,1.6728,1.5253,1.247,1.1696
February ,Weekday,0.9794,0.9437,0.9493,0.9505,1.0284,1.1312,1.318,1.4834,1.3841,1.2827,1.2391,1.2582,1.176,1.1733,1.1674,1.2966,1.4408,1.5984,1.7403,1.9783,2.1705,1.8357,1.8123,1.6206
February ,Weekday,1.3979,1.4778,1.536,1.5545,1.6789,1.76,2.0443,2.063,1.9995,1.7341,1.615,1.4741,1.3792,1.2927,1.1775,1.2163,1.4293,1.7723,1.9265,2.0433,1.8648,1.7336,1.6124,1.4586
February ,Weekday,1.4143,1.4157,1.3021,1.3374,1.3567,1.4427,1.5569,1.5305,1.555,1.6204,1.369,1.2379,1.1344,1.0378,0.9842,0.9526,1.1021,1.3088,1.7259,1.7726,1.8384,1.7318,1.646,1.6106
February ,Weekday,1.5645,1.5318,1.5877,1.4879,1.6359,1.7088,1.9287,1.8867,1.7362,1.4982,1.4011,1.1784,0.9666,0.9537,0.836,0.9805,1.0135,1.1827,1.3617,1.7825,1.6572,1.505,1.5792,1.4443
February ,Weekend,1.4173,1.3949,1.4295,1.4054,1.4697,1.5293,1.723,1.7802,1.6855,1.6675,1.7287,1.3976,1.3294,1.1959,1.1927,1.0595,1.1991,1.2483,1.4797,1.4307,1.435,1.4423,1.3284,1.2743
February ,Weekend,1.1718,1.1542,1.1718,1.0952,1.1355,1.1241,1.2443,1.3931,1.479,1.3767,1.2717,1.1071,0.9662,1.1364,1.1272,1.1009,1.0994,1.1426,1.3138,1.5664,1.5234,1.5199,1.3553,1.0493
February ,Weekday,0.9372,0.8665,0.8544,0.8758,0.9236,1.0128,1.2336,1.2373,1.2912,1.0347,0.9825,0.8891,0.676,0.7737,0.7109,0.739,0.7624,0.927,1.2837,1.332,1.3215,1.1514,1.1917,0.9746
February ,Weekday,0.8036,0.8599,0.8625,0.8964,1.0418,1.2309,1.4322,1.4153,1.4264,1.2495,1.1531,0.9601,0.879,0.7959,0.8071,0.8723,0.9186,1.1089,1.3281,1.6816,1.7064,1.6301,1.5229,1.3677
February ,Weekday,1.1977,1.1557,1.2204,1.258,1.3805,1.4396,1.6849,1.6385,1.5132,1.3161,1.231,1.2934,1.101,0.907,0.8641,0.9194,1.0123,1.0852,1.1765,1.2948,1.4789,1.477,1.1984,1.0471
February ,Weekday,0.8727,0.83,0.8768,0.8435,0.9758,1.0668,1.1076,1.2305,1.1711,0.9284,0.8578,0.6321,0.6445,0.6328,0.593,0.5893,0.6095,0.7926,0.8873,0.9688,0.9517,0.9878,0.8927,0.7673
February ,Weekday,0.5782,0.5986,0.5647,0.5693,0.6175,0.6941,0.8715,0.9878,0.9399,0.7303,0.6452,0.6186,0.6257,0.6103,0.6623,0.6444,0.6481,0.6392,0.898,0.9307,0.9032,0.7933,0.7373,0.6909
February ,Weekend,0.583,0.5644,0.5668,0.6057,0.6087,0.6807,0.8525,1.0041,1.0594,1.1714,1.1635,1.1094,1.0859,1.0842,0.9572,1.0275,0.9264,1.078,1.1194,1.1925,1.1745,1.2629,1.1304,1.1389
February ,Weekend,0.9505,0.9698,0.9763,1.0045,1.046,1.1677,1.1938,1.4437,1.5065,1.4158,1.3129,1.1237,1.1024,0.966,1.0586,0.9527,1.0602,1.2087,1.4253,1.6009,1.3653,1.3205,1.1611,1.123
February ,Weekday,1.0277,0.9335,0.9115,0.9616,1.0189,1.0706,1.0291,1.0515,1.1717,1.0805,1.0192,1.0027,1.07,0.99,1.1464,1.1907,1.2149,1.2908,1.4222,1.4533,1.5693,1.535,1.4203,1.3212
February ,Weekday,1.2871,1.2275,1.2635,1.235,1.3836,1.5332,1.6435,1.612,1.6977,1.5471,1.341,1.2556,1.2389,1.1589,1.1183,1.2563,1.3144,1.5251,1.7975,1.8323,1.8853,1.8068,1.6018,1.5112
February ,Weekday,1.3967,1.4154,1.413,1.4881,1.5586,1.7291,1.8213,1.8921,1.7354,1.3857,1.2526,1.1376,0.986,0.9403,0.9505,0.745,0.9319,1.177,1.4881,1.5453,1.7084,1.475,1.4178,1.397
February ,Weekday,1.3863,1.2729,1.2462,1.264,1.3676,1.477,1.6167,1.5852,1.4018,1.347,1.1166,1.0901,1.0032,0.9389,0.8749,0.9354,1.0378,1.2634,1.314,1.3525,1.4564,1.2045,1.0942,0.9995
February ,Weekday,0.8685,0.8701,0.8203,0.8122,0.884,0.9474,1.0295,1.061,0.9091,0.8522,0.7286,0.7337,0.6584,0.6487,0.662,0.7968,0.6845,0.8762,1.094,1.31,1.3899,1.2732,1.2649,1.1358
February ,Weekend,1.1079,1.0479,1.0774,1.0118,1.1254,1.2474,1.3537,1.3918,1.5201,1.4155,1.3571,1.1663,1.1479,1.0215,0.9788,1.0983,1.0961,1.2326,1.4253,1.4736,1.6314,1.3805,1.2955,1.1526
February ,Weekend,1.0658,1.0206,1.0162,0.9541,1.0132,1.0018,1.0644,1.3775,1.4251,1.2999,1.2018,1.0948,0.9875,1.0836,1.0866,0.9448,0.9807,1.1575,1.1279,1.2947,1.3131,1.2598,1.0448,0.8888
February ,Weekday,0.8005,0.7188,0.7049,0.7432,0.8633,0.8976,1.0527,1.127,1.02,0.8011,0.6751,0.5806,0.6241,0.7124,0.7216,0.7781,0.7806,1.0926,1.1058,1.1111,1.1623,1.102,0.939,0.8536
March    ,Weekday,0.7632,0.7648,0.8095,0.7659,0.9556,1.0458,1.2166,1.4257,1.3084,1.213,1.0067,0.8912,0.866,0.7733,0.6393,0.8305,0.8707,1.0997,1.3948,1.6992,1.6027,1.6321,1.4147,1.2329
March    ,Weekday,1.1848,1.1642,1.1335,1.1416,1.2789,1.3391,1.5612,1.5061,1.2825,1.1917,1.0101,0.9536,0.8087,0.7948,0.7299,0.7477,0.7265,0.9836,1.0569,1.2557,1.3589,1.1961,1.0424,1.0355
March    ,Weekday,0.9773,1.0129,0.9885,0.9894,1.1388,1.2784,1.4498,1.5784,1.3921,1.3155,1.239,1.1797,0.9479,0.9276,0.8871,0.8481,1.0241,1.235,1.5692,1.7408,1.833,1.6896,1.4766,1.3599
March    ,Weekday,1.1538,1.139,1.1941,1.1598,1.3919,1.4436,1.6318,1.6008,1.4614,1.3115,1.0916,1.0267,0.9378,0.8311,0.8382,0.842,0.9763,1.0664,1.2908,1.4513,1.5258,1.4204,1.3573,1.2519
March    ,Weekend,0.9867,0.9477,1.0295,0.9808,1.0245,1.0912,1.0166,1.2582,1.251,1.1476,1.1862,1.1596,1.0069,1.0556,1.0079,0.8931,0.8436,0.9368,1.0972,1.0439,1.0469,0.9934,0.8765,0.7977
March    ,Weekend,0.6126,0.5797,0.6197,0.6077,0.5808,0.582,0.6004,0.8021,1.0563,1.075,1.118,0.9033,0.9358,1.0546,1.0634,1.1873,1.1943,1.1952,1.1962,1.3259,1.4292,1.1269,1.0807,1.0932
March    ,Weekday,0.9343,0.9763,0.9886,1.072,1.1301,1.1505,1.3463,1.517,1.2925,1.0177,0.9231,0.8525,0.7835,0.7871,0.6956,0.7843,0.9131,1.0575,1.43,1.4496,1.3938,1.284,1.3142,1.1224
March    ,Weekday,1.1528,1.0353,1.0518,1.1055,1.1997,1.2902,1.4368,1.5388,1.3626,1.2,0.9425,0.8971,0.7823,0.7557,0.6636,0.7086,0.7785,1.0483,1.2121,1.3659,1.4177,1.3678,1.3196,1.0793
March    ,Weekday,1.0411,1.0346,0.9941,1.0328,1.058,1.1469,1.4143,1.3027,1.1189,1.1069,0.8843,0.9193,0.9023,0.8955,0.8451,0.7844,0.9225,1.237,1.4363,1.3799,1.3797,1.1996,1.0455,0.9202
March    ,Weekday,0.867,0.7573,0.6992,0.7354,0.7358,0.8116,0.9525,1.0192,1.0552,0.9999,0.8704,0.8895,0.8785,0.923,0.8858,1.0275,1.0064,1.129,1.0956,1.2149,1.2096,1.0178,1.0302,0.9012
March    ,Weekday,0.6927,0.6961,0.6585,0.6241,0.7806,0.8503,0.9872,1.1293,1.1159,1.0074,0.8139,0.8157,0.8327,0.9146,0.9494,0.9585,0.9225,0.9977,1.1061,1.2021,1.3191,1.0662,1.034,1.0693
March    ,Weekend,0.9255,0.9334,0.9467,1.0477,0.9949,1.0776,1.1779,1.1807,1.2105,1.1876,1.0666,1.1706,1.2025,1.1537,1.0722,0.9657,1.005,0.9533,1.1491,1.2052,1.1378,1.0915,1.0524,0.8767
March    ,Weekend,0.754,0.7212,0.6885,0.6415,0.7556,0.7551,0.8047,0.9455,1.0355,1.0235,1.0549,1.1266,0.8452,0.7602,0.8697,0.9019,0.9409,0.9466,0.8418,1.0985,1.3066,1.2215,1.099,0.9943
March    ,Weekday,0.9168,0.8511,0.8441,0.9034,1.0121,1.1365,1.3211,1.4908,1.3985,1.0818,0.9827,0.8125,0.7428,0.7367,0.7715,0.9983,1.0778,1.1433,1.1152,1.2345,1.433,1.4277,1.0658,0.9318
March    ,Weekday,0.9111,0.8479,0.9002,0.9433,1.0678,1.1396,1.3361,1.5799,1.3826,1.1503,1.0059,0.8725,0.8605,0.7813,0.8341,0.9256,0.955,1.0814,1.2754,1.1877,1.4511,1.5042,1.2575,1.001
March    ,Weekday,0.9001,0.8698,0.8196,0.8082,0.8833,0.9483,1.1184,1.2199,1.2061,1.0224,0.9521,0.8859,0.8243,0.7727,0.7512,0.7369,0.7039,0.7921,0.9641,1.0793,1.1045,1.0266,0.9333,0.8611
March    ,Weekday,0.7593,0.7149,0.7318,0.7832,0.8054,0.9894,1.0785,1.2832,1.2279,1.0949,0.8411,0.6872,0.7066,0.6274,0.591,0.7064,0.6657,0.623,0.7036,0.8141,0.9211,0.9503,0.9129,0.7298
March    ,Weekday,0.7347,0.6174,0.6013,0.6158,0.6481,0.725,0.9772,1.0324,1.0015,0.7403,0.5897,0.5971,0.6785,0.6105,0.6359,0.6411,0.6709,0.6463,0.6862,0.8055,0.8493,0.8219,0.7334,0.6432
March    ,Weekend,0.5726,0.5133,0.4344,0.415,0.4213,0.4628,0.5071,0.6329,0.781,0.8808,0.8541,0.8729,0.8302,0.9124,0.8107,0.7545,0.6419,0.796,0.8496,0.761,0.8717,0.9672,0.8609,0.861
March    ,Weekend,0.791,0.6795,0.763,0.7275,0.7087,0.7887,0.8912,0.9903,1.1582,1.2145,1.0615,0.8683,0.9656,0.8998,0.9561,0.952,0.9328,0.9931,1.0304,1.2375,1.2298,1.2006,1.0309,0.9269
March    ,Weekday,0.8186,0.7533,0.7642,0.7653,0.7654,0.8054,1.0012,1.1746,1.0723,0.9239,0.8712,0.8316,0.7506,0.7367,0.7972,0.6461,0.8054,0.8233,0.9036,1.0446,1.089,0.9804,0.8087,0.6357
March    ,Weekday,0.602,0.5286,0.5351,0.5149,0.5498,0.7079,0.8063,0.9731,0.9188,0.8307,0.7323,0.8521,0.697,0.7577,0.6409,0.6654,0.7803,0.7065,0.812,1.0782,1.1027,1.0703,0.8396,0.7554
March    ,Weekday,0.7064,0.5809,0.6113,0.6128,0.6952,0.7513,0.9339,1.044,0.907,0.9521,0.8475,0.8742,0.9649,0.9076,0.7993,0.8673,0.8834,0.9688,1.0572,1.2309,1.3588,1.2008,1.0127,0.904
March    ,Weekday,0.7469,0.7121,0.7117,0.66,0.7717,0.8753,1.0642,1.2408,1.1514,1.0707,0.9076,0.9369,0.9491,1.0359,0.8434,0.8223,0.9963,1.198,1.1494,1.2702,1.2621,1.4678,1.2525,1.1012
March    ,Weekday,0.9518,0.9678,0.9434,0.9637,1.0791,1.2155,1.3969,1.6784,1.3265,1.1077,0.984,0.9618,1.0388,0.884,0.9056,0.8559,0.888,1.0216,1.0196,1.1503,1.3422,1.1628,1.3,1.0859
March    ,Weekend,1.0844,1.04,0.9326,0.947,0.9683,1.1349,1.2108,1.2729,1.3301,1.1918,1.2946,1.2485,1.337,1.2511,0.9385,0.9325,0.9964,1.1067,1.1975,1.1952,1.3343,1.3676,1.2248,1.1613
March    ,Weekend,0.9986,1.0403,0.9924,0.9874,1.0372,1.0807,1.1692,1.4263,1.782,1.8348,1.5348,1.4588,1.2252,1.29,1.2458,1.145,1.3018,1.1985,1.058,1.4318,1.5309,1.5186,1.4024,1.3183
March    ,Weekday,1.183,1.0402,1.1621,1.1437,1.316,1.4335,1.72,1.6539,1.4665,1.3753,1.1989,1.1545,1.1783,0.8901,0.9072,0.909,0.9441,1.2216,1.2515,1.3854,1.5888,1.5663,1.4774,1.366
March    ,Weekday,1.1374,1.0467,1.0943,1.1599,1.2659,1.3827,1.5357,1.7317,1.5143,1.1515,0.9941,0.9056,0.8352,0.8116,0.7873,0.8251,0.771,0.8365,0.9555,1.0807,1.3387,1.4229,1.1516,0.9791
March    ,Weekday,0.9723,0.8815,0.8803,0.8861,0.9626,1.029,1.2979,1.3056,1.1575,1.0296,1.009,0.9182,1.0698,1.042,1.0603,1.1738,1.1201,1.1961,1.4159,1.4058,1.4274,1.3095,1.2158,1.0701
March    ,Weekday,1.056,0.8509,0.8716,0.9023,0.9561,1.1204,1.2027,1.2494,1.2728,1.1208,1.1889,1.1143,1.1231,1.0721,0.9937,1.0067,1.0069,1.2399,1.3162,1.3524,1.4572,1.4877,1.3077,1.248
