case_id,status,is_correct,score,score_fd,column_mapping_score,average_similarity,latency_seconds,cost,timestamp,error
1_0,correct,True,1.0,1.0,1.0,1.0,31.52,0.009285,2026-02-24T09:12:46.410485,
1_1,correct,True,1.0,1.0,1.0,1.0,313.05,0.070478,2026-02-24T09:13:18.401997,
1_10,correct,True,1.0,1.0,1.0,1.0,47.26,0.019155,2026-02-24T09:18:31.815158,
1_11,correct,True,1.0,1.0,1.0,1.0,75.98,0.018308,2026-02-24T09:19:19.504268,
1_12,correct,True,1.0,1.0,1.0,1.0,40.92,0.011067,2026-02-24T09:20:35.932768,
1_13,correct,True,1.0,1.0,1.0,1.0,77.69,0.017679,2026-02-24T09:21:17.205679,
1_14,correct,True,1.0,1.0,1.0,1.0,73.29,0.012792,2026-02-24T09:22:35.322428,
1_15,correct,True,1.0,1.0,1.0,1.0,41.47,0.011086,2026-02-24T09:23:49.044303,
1_16,incorrect,False,0.5,0.0,1.0,0.0,184.01,0.079091,2026-02-24T09:24:30.887599,
1_17,correct,True,1.0,1.0,1.0,1.0,54.38,0.011505,2026-02-24T09:27:35.471563,
1_18,correct,True,1.0,1.0,1.0,1.0,233.25,0.048588,2026-02-24T09:28:30.212830,
1_19,correct,True,1.0,1.0,1.0,1.0,231.96,0.016716,2026-02-24T09:32:24.448490,
1_2,correct,True,1.0,1.0,1.0,1.0,212.04,0.043926,2026-02-24T09:36:17.237563,
1_20,incorrect,False,,,,,74.97,0.019779,2026-02-24T09:39:49.664732,
1_21,incorrect,False,1.0,1.0,1.0,0.5,38.99,0.010053,2026-02-24T09:41:04.985371,
1_22,error,False,,,,,,0.00697,2026-02-24T09:43:04.747748,"expected string or bytes-like object, got 'dict'"
1_23,incorrect,False,1.0,1.0,1.0,0.5,87.39,0.019182,2026-02-24T09:43:05.167946,
1_24,incorrect,False,0.5,0.0,1.0,0.0,329.04,0.232848,2026-02-24T09:44:32.909698,
1_25,correct,True,1.0,1.0,1.0,1.0,131.71,0.025845,2026-02-24T09:50:02.456851,
1_26,correct,True,1.0,1.0,1.0,1.0,35.59,0.011069,2026-02-24T09:52:14.590558,
1_27,incorrect,False,0.5330788804071247,0.06615776081424937,1.0,0.0,180.38,0.03262,2026-02-24T09:52:50.653304,
1_28,correct,True,1.0,1.0,1.0,1.0,221.3,0.073625,2026-02-24T09:55:51.491536,
1_29,correct,True,1.0,1.0,1.0,1.0,28.48,0.00905,2026-02-24T09:59:33.140683,
1_3,incorrect,False,1.0,1.0,1.0,0.5,32.13,0.009348,2026-02-24T10:00:01.987472,
1_30,correct,True,1.0,1.0,1.0,1.0,50.39,0.021632,2026-02-24T10:00:34.615053,
1_31,correct,True,1.0,1.0,1.0,1.0,59.61,0.012039,2026-02-24T10:01:25.424816,
1_32,correct,True,1.0,1.0,1.0,1.0,54.88,0.011602,2026-02-24T10:02:25.500331,
1_33,correct,True,1.0,1.0,1.0,1.0,58.28,0.012424,2026-02-24T10:03:20.799765,
1_34,correct,True,0.5,0.0,1.0,1.0,120.03,0.036976,2026-02-24T10:04:19.437632,
1_35,correct,True,1.0,1.0,1.0,1.0,27.91,0.008914,2026-02-24T10:06:19.824120,
1_36,incorrect,False,,,,,336.87,0.103713,2026-02-24T10:06:48.333501,
1_37,incorrect,False,0.98,0.9600000000000001,1.0,0.0,112.8,0.038396,2026-02-24T10:12:25.721426,
1_38,correct,True,1.0,1.0,1.0,1.0,27.67,0.009658,2026-02-24T10:14:18.884369,
1_39,correct,True,1.0,1.0,1.0,1.0,43.71,0.011533,2026-02-24T10:14:46.975750,
1_4,correct,True,1.0,1.0,1.0,1.0,30.01,0.009705,2026-02-24T10:15:31.220784,
1_40,incorrect,False,0.7,0.4,1.0,0.0,44.92,0.015734,2026-02-24T10:16:01.623247,
1_41,correct,True,1.0,1.0,1.0,1.0,86.44,0.025705,2026-02-24T10:16:48.018372,
1_42,correct,True,1.0,1.0,1.0,1.0,38.64,0.01103,2026-02-24T10:18:14.943540,
1_43,incorrect,False,0.8023255813953488,0.6046511627906976,1.0,0.0,333.73,0.114866,2026-02-24T10:18:53.940035,
1_44,incorrect,False,0.5,0.0,1.0,0.0,316.61,0.10168,2026-02-24T10:24:28.163796,
1_45,correct,True,1.0,1.0,1.0,1.0,48.56,0.011856,2026-02-24T10:29:45.208060,
1_46,incorrect,False,0.6538461538461539,0.30769230769230765,1.0,0.0,288.56,0.101752,2026-02-24T10:30:34.122671,
1_47,correct,True,1.0,1.0,1.0,1.0,133.19,0.025337,2026-02-24T10:35:23.214559,
1_48,incorrect,False,0.9,0.8,1.0,0.0,365.58,0.091258,2026-02-24T10:37:36.771518,
1_49,incorrect,False,,,,,99.04,0.030285,2026-02-24T10:43:42.943290,
1_5,correct,True,1.0,1.0,1.0,1.0,33.4,0.01073,2026-02-24T10:45:22.396496,
1_50,correct,True,1.0,1.0,1.0,1.0,335.3,0.034728,2026-02-24T10:45:56.621246,
1_6,correct,True,1.0,1.0,1.0,1.0,45.35,0.01718,2026-02-24T10:51:32.676626,
1_7,correct,True,1.0,1.0,1.0,1.0,48.33,0.011037,2026-02-24T10:52:18.514749,
1_8,correct,True,1.0,1.0,1.0,1.0,30.72,0.010144,2026-02-24T10:53:07.289221,
1_9,incorrect,False,0.5,0.0,1.0,0.0,28.77,0.0116,2026-02-24T10:53:39.636206,
