IsIntervention,WarID,WarShortName,WarType,IsInternational
0,1500,1500,8,0
0,1501,1501,8,0
0,1502,1502,8,0
0,1503,1503,8,0
0,1505,1505,8,0
0,1506,1506,8,0
0,1508,1508,8,0
0,1509,1509,8,0
0,1510,1510,8,0
0,1511,1511,8,0
0,1512,1512,8,0
0,1513,1513,8,0
0,1514,1514,8,0
0,1515,1515,8,0
0,1516,1516,8,0
0,1518,1518,8,0
0,1520,1520,8,0
0,1521,1521,8,0
0,1523,1523,8,0
0,1524,1524,8,0
0,1525,1525,8,0
0,1527,1527,8,0
0,1528,1528,8,0
0,1530,1530,8,0
0,1531,1531,8,0
0,1533,1533,8,0
0,1534,1534,8,0
0,1535,1535,8,0
0,1536,1536,8,0
0,1537,1537,8,0
0,1538,1538,8,0
0,1539,1539,8,0
0,1540,1540,8,0
0,1541,1541,8,0
0,1542,1542,8,0
0,1543,1543,8,0
0,1544,1544,8,0
0,1545,1545,8,0
0,1546,1546,8,0
0,1548,1548,8,0
0,1550,1550,8,0
0,1551,1551,8,0
0,1552,1552,8,0
0,1553,1553,8,0
0,1554,1554,8,0
0,1556,1556,8,0
0,1557,1557,8,0
0,1558,1558,8,0
0,1559,1559,8,0
0,1560,1560,8,0
0,1561,1561,8,0
0,1567,1567,8,0
0,1568,1568,8,0
0,1570,1570,8,0
0,1571,1571,8,0
0,1572,1572,8,0
0,1573,1573,8,0
0,1574,1574,8,0
0,1577,1577,8,0
0,1581,1581,8,0
0,1582,1582,8,0
0,1594,1594,9,0
0,1,1,1,0
0,4,4,1,0
0,7,7,1,0
0,10,10,1,0
0,13,13,1,0
0,16,16,1,0
0,19,19,1,0
0,22,22,1,0
0,25,25,1,0
0,28,28,1,0
0,31,31,1,0
0,34,34,1,0
0,37,37,1,0
0,40,40,1,0
0,43,43,1,0
0,46,46,1,0
0,49,49,1,0
0,52,52,1,0
0,55,55,1,0
0,58,58,1,0
0,60,60,1,0
0,61,61,1,0
0,64,64,1,0
0,65,65,1,0
0,67,67,1,0
0,70,70,1,0
0,73,73,1,0
0,76,76,1,0
0,79,79,1,0
0,82,82,1,0
0,83,83,1,0
0,85,85,1,0
0,88,88,1,0
0,91,91,1,0
0,94,94,1,0
0,97,97,1,0
0,100,100,1,0
0,103,103,1,0
0,106,106,1,0
0,107,107,1,0
0,108,108,1,0
0,109,109,1,0
0,112,112,1,0
0,115,115,1,0
0,116,116,1,0
0,117,117,1,0
0,118,118,1,0
0,121,121,1,0
0,124,124,1,0
0,125,125,1,0
0,127,127,1,0
0,130,130,1,0
0,133,133,1,0
0,136,136,1,0
0,139,139,1,0
0,142,142,1,0
0,145,145,1,0
0,147,147,1,0
0,148,148,1,0
0,151,151,1,0
0,153,153,1,0
0,155,155,1,0
0,156,156,1,0
0,158,158,1,0
0,159,159,1,0
0,160,160,1,0
0,163,163,1,0
0,166,166,1,0
0,169,169,1,0
0,170,170,1,0
0,172,172,1,0
0,175,175,1,0
0,176,176,1,0
0,178,178,1,0
0,181,181,1,0
0,184,184,1,0
0,186,186,1,0
0,187,187,1,0
0,189,189,1,0
0,190,190,1,0
0,193,193,1,0
0,199,199,1,0
0,202,202,1,0
0,205,205,1,0
0,207,207,1,0
0,208,208,1,0
0,211,211,1,0
0,215,215,1,0
0,216,216,1,0
0,217,217,1,0
0,219,219,1,0
0,221,221,1,0
0,223,223,1,0
0,225,225,1,0
0,227,227,1,0
