WarNum,TransTo
300,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,19
327,19
327,19
329,0
330,0
331,0
332,0
332,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
343,0
345,0
347,0
349,0
350,0
351,0
352,37
353,0
355,0
356,0
356,0
356,0
356,0
357,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
369,0
370,0
371,0
372,0
373,61
374,0
375,0
376,0
377,0
379,0
380,0
381,0
382,0
383,0
384,0
384,0
385,67
385,67
386,0
387,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,79
405,0
406,0
407,0
409,0
410,79
411,0
412,0
413,0
414,0
415,0
416,0
417,0
419,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
436,0
437,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
446,0
447,0
449,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
456,0
457,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
469,1581
471,0
472,806
473,0
474,0
474,0
474,0
475,857
475,857
476,851
476,851
477,0
479,0
480,0
481,0
481,0
481,0
481,0
481,0
481,0
481,0
482,0
482,0
482,0
482,0
482,0
482,0
482,0
482,0
482,0
482,0
1,0
1,0
4,0
4,0
7,0
7,0
10,0
10,0
10,0
10,0
13,0
13,0
16,0
16,0
16,0
16,0
19,0
19,0
22,0
22,0
22,0
22,0
22,0
25,0
25,0
28,0
28,0
28,0
31,0
31,0
34,0
34,0
37,0
37,0
40,587
40,587
43,0
43,0
46,0
46,0
46,0
49,0
49,0
49,0
52,0
52,0
52,0
55,0
55,0
55,0
55,0
55,0
55,0
55,0
55,0
55,0
55,0
55,0
58,0
58,0
58,0
58,0
58,0
60,0
60,0
61,0
61,0
64,0
64,0
64,0
65,0
65,0
67,0
67,0
70,0
70,0
73,0
73,0
76,0
76,0
79,0
79,0
82,0
82,0
82,0
82,0
82,0
82,0
83,0
83,0
85,0
85,0
88,0
88,0
88,0
91,0
91,0
91,0
94,0
94,0
97,0
97,0
100,0
100,0
100,0
100,0
103,0
103,0
103,0
103,0
103,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
106,0
107,0
107,0
107,0
108,0
108,0
108,0
108,0
108,0
109,0
109,0
112,0
112,0
112,0
115,0
115,0
116,0
116,0
117,0
117,0
118,0
118,0
121,0
121,0
124,0
124,0
125,0
125,0
127,0
127,0
130,0
130,0
133,0
133,0
136,0
136,0
136,0
139,0
139,0
139,0
139,0
139,0
