Year,Category,Nominee,Movie,Winner
2010 (83rd),Actress -- Supporting Role,Melissa Leo,The Fighter {'Alice Ward'},YES
2009 (82nd),Actress -- Supporting Role,Mo'Nique,Precious: Based on the Novel 'Push' by Sapphire {'Mary'},YES
2008 (81st),Actress -- Supporting Role,Penélope Cruz,Vicky Cristina Barcelona {'Maria Elena'},YES
2007 (80th),Actress -- Supporting Role,Tilda Swinton,Michael Clayton {'Karen Crowder'},YES
2006 (79th),Actress -- Supporting Role,Jennifer Hudson,Dreamgirls {'Effie White'},YES
2005 (78th),Actress -- Supporting Role,Rachel Weisz,The Constant Gardener {'Tessa Quayle'},YES
2004 (77th),Actress -- Supporting Role,Cate Blanchett,The Aviator {'Katharine Hepburn'},YES
2003 (76th),Actress -- Supporting Role,Renée Zellweger,Cold Mountain {'Ruby Thewes'},YES
2002 (75th),Actress -- Supporting Role,Catherine Zeta-Jones,Chicago {'Velma Kelly'},YES
2001 (74th),Actress -- Supporting Role,Jennifer Connelly,A Beautiful Mind {'Alicia Nash'},YES
2000 (73rd),Actress -- Supporting Role,Marcia Gay Harden,Pollock {'Lee Krasner'},YES
1999 (72nd),Actress -- Supporting Role,Angelina Jolie,"Girl, Interrupted {'Lisa Rowe'}",YES
1998 (71st),Actress -- Supporting Role,Judi Dench,Shakespeare in Love {'Queen Elizabeth I'},YES
1997 (70th),Actress -- Supporting Role,Kim Basinger,L.A. Confidential {'Lynn Bracken'},YES
1996 (69th),Actress -- Supporting Role,Juliette Binoche,The English Patient {'Hana'},YES
1995 (68th),Actress -- Supporting Role,Mira Sorvino,Mighty Aphrodite {'Linda'},YES
1994 (67th),Actress -- Supporting Role,Dianne Wiest,Bullets over Broadway {'Helen Sinclair'},YES
1993 (66th),Actress -- Supporting Role,Anna Paquin,The Piano {'Flora'},YES
1992 (65th),Actress -- Supporting Role,Marisa Tomei,My Cousin Vinny {'Mona Lisa Vito'},YES
1991 (64th),Actress -- Supporting Role,Mercedes Ruehl,The Fisher King {'Anne'},YES
1990 (63rd),Actress -- Supporting Role,Whoopi Goldberg,Ghost {'Oda Mae Brown'},YES
1989 (62nd),Actress -- Supporting Role,Brenda Fricker,My Left Foot {'Mrs. Brown'},YES
1988 (61st),Actress -- Supporting Role,Geena Davis,The Accidental Tourist {'Muriel'},YES
1987 (60th),Actress -- Supporting Role,Olympia Dukakis,Moonstruck {'Rose Castorini'},YES
1986 (59th),Actress -- Supporting Role,Dianne Wiest,Hannah and Her Sisters {'Holly'},YES
1985 (58th),Actress -- Supporting Role,Anjelica Huston,Prizzi's Honor {'Maerose Prizzi'},YES
1984 (57th),Actress -- Supporting Role,Peggy Ashcroft,A Passage to India {'Mrs. Moore'},YES
1983 (56th),Actress -- Supporting Role,Linda Hunt,The Year of Living Dangerously {'Billy Kwan'},YES
1982 (55th),Actress -- Supporting Role,Jessica Lange,Tootsie {'Julie Nichols'},YES
1981 (54th),Actress -- Supporting Role,Maureen Stapleton,Reds {'Emma Goldman'},YES
1980 (53rd),Actress -- Supporting Role,Mary Steenburgen,Melvin and Howard {'Lynda Dummar'},YES
1979 (52nd),Actress -- Supporting Role,Meryl Streep,Kramer vs. Kramer {'Joanna Kramer'},YES
1978 (51st),Actress -- Supporting Role,Maggie Smith,California Suite {'Diana Barrie'},YES
1977 (50th),Actress -- Supporting Role,Vanessa Redgrave,Julia {'Julia'},YES
1976 (49th),Actress -- Supporting Role,Beatrice Straight,Network {'Louise Schumacher'},YES
1975 (48th),Actress -- Supporting Role,Lee Grant,Shampoo {'Felicia Karpf'},YES
1974 (47th),Actress -- Supporting Role,Ingrid Bergman,Murder on the Orient Express {'Greta Ohlsson'},YES
